OP ID,Phase,Initial Altitude (RE),Reference OP start time (yyyy/mm/dd hh:mm:ss UTC),Mode,RTP_start (yyyy/mm/dd hh:mm:ss UTC),RTP_end (yyyy/mm/dd hh:mm:ss UTC),SC_Start (yyyy/mm/dd hh:mm:ss.fff UTC),SC_bands,L1/E1 SC bit depth (bit/sample),L1/E1 SC sampling frequency (Msps),L1/E1 SC duration (ms),L5/E5a bit depth (bit/sample),L5/E5a SC sampling frequency (Msps),L5/E5a SC duration (ms)
1_0,C,15.03,2025/01/15 15:21:33,RTP,2025/01/15 15:29:17,2025/01/15 16:16:26,,,,,,,,
2_0,C,25.25,2025/01/16 01:28:59,SC-RTP,2025/01/16 01:36:47,2025/01/16 02:23:58,2025/01/16 01:31:17.762,L1/E1,4,8,400,,,
3_0,T,40.20,2025/01/17 02:21:53,RTP,2025/01/17 02:24:09,2025/01/17 03:21:55,,,,,,,,
5_0,T,51.69,2025/01/19 04:49:50,SC-RTP,2025/01/19 04:57:41,2025/01/19 05:49:50,2025/01/19 04:52:11.899,L1/E1,8,8,200,,,
9_0,T,34.88,2025/01/25 05:06:01,SC-RTP,2025/01/25 05:14:06,2025/01/25 06:06:01,2025/01/25 05:08:24.766,L5/E5a,,,,4,24,200
12_0,T,39.93,2025/01/30 04:22:48,SC-RTP,2025/01/30 04:30:39,2025/01/30 05:22:47,2025/01/30 04:25:09.414,L1/E1,4,4,800,,,
14_0,T,29.91,2025/01/30 22:38:34,SC-RTP,2025/01/30 22:46:25,2025/01/30 23:38:33,2025/01/30 22:40:56.014,L1/E1,4,8,400,,,
17_0,T,44.91,2025/02/03 09:11:19,SC-RTP,2025/02/03 09:19:10,2025/02/03 10:11:21,2025/02/03 09:13:40.779,L1/E1,4,8,400,,,
18_0,T,49.55,2025/02/05 22:56:48,SC-RTP,2025/02/05 23:04:39,2025/02/05 23:56:49,2025/02/05 22:59:10.034,L1/E1,4,8,600,,,
21_0,T,32.63,2025/02/07 23:26:48,SC-RTP,2025/02/07 23:34:39,2025/02/08 00:26:48,2025/02/07 23:29:01.217,L1/E1,4,8,600,,,
22_0,T,52.92,2025/02/12 02:50:56,RTP-SC,2025/02/12 02:53:12,2025/02/12 03:45:35,2025/02/12 03:47:55.104,L1/E1,4,8,400,,,
23_0,L,61.19,2025/02/14 04:01:54,SC-RTP,2025/02/14 04:04:10,2025/02/14 05:00:44,2025/02/14 04:58:53.015,L1/E1,4,8,400,,,
27_0,L,62.18,2025/02/19 15:20:27,SC-RTP,2025/02/19 15:28:18,2025/02/19 16:20:27,2025/02/19 15:22:50.365,L5/E5a,,,,4,24,200
31_0,L,60.13,2025/02/23 02:43:32,SC,,,2025/02/23 03:40:19.196,L5/E5a,,,,4,24,200
32_0,L,58.93,2025/02/24 11:08:44,SC,,,2025/02/24 12:04:49.590,L1/E1 + L5/E5a,4,8,300,4,24,300
37_0,L,56.44,2025/02/27 16:07:14,SC-RTP,2025/02/27 16:15:46,2025/02/27 17:07:14,2025/02/27 16:09:37.398,L1/E1 + L5/E5a,4,8,300,4,24,300
38_0,S,55.85,2025/03/03 06:12:43,SC-RTP,2025/03/03 06:19:09,2025/03/04 06:10:41,2025/03/03 06:13:00.758,L1/E1 + L5/E5a,4,8,300,4,24,300
40_0,S,56.25,2025/03/04 07:03:05,SC-RTP,2025/03/04 07:09:59,2025/03/04 20:31:50,2025/03/04 07:03:23.467,L1/E1 + L5/E5a,4,8,400,4,24,400
73_0,S,61.86,2025/03/14 10:07:22,SC,,,2025/03/14 10:09:45.210,L1/E1 + L5/E5a,4,8,2000,4,24,2000
74_0,S,61.90,2025/03/14 12:47:00,SC-RTP,2025/03/14 12:54:22,2025/03/15 12:44:57,2025/03/14 12:47:17.387,L1/E1 + L5/E5a,4,8,500,4,24,500
76_0,S,62.20,2025/03/15 13:07:09,SC-RTP,2025/03/15 13:21:42,2025/03/16 15:05:04,2025/03/15 13:07:27.164,L1/E1 + L5/E5a,4,8,2000,4,24,2000
77_0,S,62.42,2025/03/16 15:12:15,SC-RTP,2025/03/16 15:17:53,2025/03/16 17:55:09,2025/03/16 15:12:30.932,L1/E1,4,8,300,,,
77_1,S,62.44,2025/03/16 19:14:48,SC-RTP,2025/03/16 19:20:26,2025/03/16 21:58:55,2025/03/16 19:15:04.303,L1/E1,4,8,300,,,
78_0,S,62.45,2025/03/16 22:01:39,SC,,,2025/03/16 22:04:02.224,L1/E1,4,8,300,,,
78_1,S,62.45,2025/03/16 22:11:13,SC-RTP,2025/03/16 22:16:51,2025/03/16 22:50:32,2025/03/16 22:11:28.576,L1/E1,4,8,300,,,
